danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,pop,rock,metal,folk,indie,dance,alternative,mellow,rap,neo,punk,teen,grunge,wave,Angry,Sad,Relaxed,Happy
0.336,0.787,0.9090909090909092,-0.1427333333795788,0.0,0.0732,0.0793,0.0648,0.32,0.383,140.003,3.7271334042584527,0.75,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
0.271,0.985,0.8181818181818182,1.8264992017102222,1.0,0.123,0.0005679999999999999,0.00112,0.0809,0.354,182.981,3.973688389201732,0.75,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
0.911,0.743,0.8181818181818182,0.7923935943862455,0.0,0.219,0.0835,0.0,0.106,0.878,148.012,1.01436756456082,0.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
0.539,0.6459999999999999,0.7272727272727273,0.8605953213454697,1.0,0.0366,0.05,0.0,0.121,0.506,162.01,-0.7339915109753002,0.75,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
0.301,0.977,0.5454545454545454,0.6759336057519024,0.0,0.16699999999999998,0.000218,0.263,0.0785,0.17800000000000002,100.362,2.630095922325174,0.75,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
0.7959999999999999,0.716,0.0,0.477237599773224,1.0,0.279,0.116,0.0,0.234,0.505,102.07,1.3724176221188649,0.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
0.5589999999999999,0.86,0.6363636363636364,1.0299916684499686,1.0,0.05,0.0991,0.0,0.292,0.292,118.969,-0.19900685396767864,0.75,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1.0,0.0,0.0,0.0
0.713,0.746,0.0,0.7960868286981168,1.0,0.259,0.0402,0.0,0.601,0.47,135.02100000000002,1.0443441558937363,0.75,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
0.112,0.693,0.18181818181818185,0.952187532279879,1.0,0.0796,1.65e-05,0.0387,0.407,0.254,154.77,-0.4017206609582419,0.75,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1.0,0.0,0.0,0.0
0.502,0.879,1.0,0.9285508326839024,1.0,0.0326,0.000215,0.0,0.5670000000000001,0.409,132.02200000000002,-0.07232518408998584,0.75,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1.0,0.0,0.0,0.0
